Name of the initiative;Type;Status;Type of juridiction covered;Jurisdiction covered;World Bank region;Year of implementation;Year of abolishment;GHG emissions covered [MtCO2e];Proportion of global GHG emissions covered;Government income, previous year;Value [billion US$];Initiatives with overlapping GHG emissions covered;Covered GHG emissions overlapping with other initiatives [MtCO2e]
Alberta TIER;ETS;Implemented;Subnational;Alberta;North America;2007;0;131.904;0.002434763;0.340593546;2.967021533;N/A;
Alberta carbon tax;Carbon tax;Abolished;Subnational;Alberta;North America;2017;2020;0;0;1.012970567;1.004722842;N/A;
Argentina carbon tax;Carbon tax;Implemented;National;Argentina;Latin America and the Caribbean  ;2018;0;88.1248;0.00162666;0.200227649;0.184207705;N/A;
Australia CPM;ETS;Abolished;National;Australia;East Asia & Pacific ;2012;2015;0;0;N/A;0;N/A;
Australia ERF Safeguard Mechanism;ETS;Implemented;National;Australia;East Asia & Pacific ;2016;0;344.208;0.006353596;N/A;0;N/A;
Austria undecided;Undecided;Under consideration;National;Austria;Europe and Central Asia;TBC;0;N/A;N/A;N/A;0;N/A;
BC GGIRCA;ETS;Implemented;Subnational;British Columbia;North America;2016;0;0;0;N/A;0;BC carbon tax;0
BC carbon tax;Carbon tax;Implemented;Subnational;British Columbia;North America;2008;0;41.65;0.0007688;1.056271122;1.236971275;BC GGIRCA;0
Beijing pilot ETS;ETS;Implemented;Subnational;Beijing;East Asia & Pacific ;2013;0;84.645;0.001562428;0;0.520114339;China national ETS;29.62575
Brazil undecided;Undecided;Under consideration;National;Brazil;Latin America and the Caribbean  ;TBC;0;N/A;N/A;N/A;0;N/A;
California CaT;ETS;Implemented;Subnational;California;North America;2012;0;375.1662;0.006925041;3.02;5.461151;N/A;
Canada federal OBPS;ETS;Implemented;National;Canada;North America;2019;0;70.94868717;0.001309613;N/A;0;N/A;
Canada federal fuel charge;Carbon tax;Implemented;National;Canada;North America;2019;0;155.3341992;0.002867251;N/A;1.989512263;N/A;
Catalonia carbon tax;Carbon tax;Under consideration;Subnational;Catalonia;Europe and Central Asia;TBC;0;N/A;N/A;N/A;0;N/A;
Chile ETS;ETS;Under consideration;National;Chile;Latin America and the Caribbean  ;TBC;0;N/A;N/A;N/A;0;N/A;
Chile carbon tax;Carbon tax;Implemented;National;Chile;Latin America and the Caribbean  ;2017;0;57.61092378;0.001063417;0.1655;0.1655;N/A;
China national ETS;ETS;Scheduled;National;China;East Asia & Pacific ;2021;0;3453.43506;0.06374556;N/A;0;Beijing pilot ETS, Chongqing pilot ETS, Fujian pilot ETS, Guangdong pilot ETS, Hubei pilot ETS, Shanghai pilot ETS, Shenzhen pilot ETS, Tianjin pilot ETS;471.0077916
Chongqing pilot ETS;ETS;Implemented;Subnational;Chongqing;East Asia & Pacific ;2014;0;121.55;0.002243642;0;0.055125267;China national ETS;42.5425
Colombia ETS;ETS;Under consideration;National;Colombia;Latin America and the Caribbean  ;TBC;0;N/A;N/A;N/A;0;N/A;
Colombia carbon tax;Carbon tax;Implemented;National;Colombia;Latin America and the Caribbean  ;2017;0;45.66552;0.000842921;0.092627705;0.096494047;N/A;
Cote d'Ivoire carbon tax;Carbon tax;Under consideration;National;Cote d'Ivoire;Sub-Saharan Africa;TBC;0;N/A;N/A;N/A;0;N/A;
Denmark carbon tax;Carbon tax;Implemented;National;Denmark;Europe and Central Asia;1992;0;25.27649934;0.000466569;0.543431323;0.549452722;EU ETS;0
EU ETS;ETS;Implemented;Regional;EU, Norway, Iceland, Liechtenstein;Europe and Central Asia;2005;0;2249.119036;0.041515578;15.94821643;45.45807721;Finland carbon tax, Ireland carbon tax, UK carbon price floor, Norway carbon tax;179.8925015
Estonia carbon tax;Carbon tax;Implemented;National;Estonia;Europe and Central Asia;2000;0;0.916067554;1.69E-05;0.002821358;0.002821358;EU ETS;0
Finland carbon tax;Carbon tax;Implemented;National;Finland;Europe and Central Asia;1990;0;40.65693359;0.00075047;1.458572417;1.458572417;EU ETS;15.04306543
France carbon tax;Carbon tax;Implemented;National;France;Europe and Central Asia;2014;0;171.6579873;0.003168565;9.262953108;9.262953108;N/A;
Fujian pilot ETS;ETS;Implemented;Subnational;Fujian;East Asia & Pacific ;2016;0;200;0.003691719;0;0.303933902;China national ETS;70
Germany ETS;ETS;Scheduled;National;Germany;Europe and Central Asia;2021;0;398.6204;0.007357973;N/A;0;N/A;
Guangdong pilot ETS;ETS;Implemented;Subnational;Guangdong (except Shenzhen);East Asia & Pacific ;2013;0;366.3;0.006761383;0;1.232302985;China national ETS;128.205
Hubei pilot ETS;ETS;Implemented;Subnational;Hubei;East Asia & Pacific ;2014;0;208.395;0.003846679;0;1.060625027;China national ETS;72.93825
Iceland carbon tax;Carbon tax;Implemented;National;Iceland;Europe and Central Asia;2010;0;1.37491008;2.54E-05;0.044041191;0.048192948;EU ETS;0
Indonesia ETS;ETS;Under consideration;National;Indonesia;East Asia & Pacific ;TBC;0;N/A;N/A;N/A;0;N/A;
Ireland carbon tax;Carbon tax;Implemented;National;Ireland;Europe and Central Asia;2010;0;32.37122349;0.000597527;0.488765721;0.488765721;EU ETS;12.9484894
Japan ETS;ETS;Under consideration;National;Japan;East Asia & Pacific ;TBC;0;N/A;N/A;N/A;0;N/A;
Japan carbon tax;Carbon tax;Implemented;National;Japan;East Asia & Pacific ;2012;0;909.1114027;0.016780919;2.361360498;2.361360498;Tokyo CaT, Saitama ETS;20.65643307
Kazakhstan ETS;ETS;Implemented;National;Kazakhstan;Europe and Central Asia;2013;0;182.0015;0.003359492;0;0;N/A;
Korea ETS;ETS;Implemented;National;Korea, Republic of;East Asia & Pacific ;2015;0;488.971;0.009025718;0.092289407;12.85467772;N/A;
Latvia carbon tax;Carbon tax;Implemented;National;Latvia;Europe and Central Asia;2004;0;2.630981038;4.86E-05;0.009067884;0.009308665;EU ETS;0
Liechtenstein carbon tax;Carbon tax;Implemented;National;Liechtenstein;Europe and Central Asia;2008;0;0.05209025;9.62E-07;0.004014271;0.004190115;N/A;
Luxembourg carbon tax;Carbon tax;Under consideration;National;Luxembourg;Europe and Central Asia;TBC;0;N/A;N/A;N/A;0;N/A;
Manitoba ETS;ETS;Under consideration;Subnational;Manitoba;North America;TBC;0;N/A;N/A;N/A;0;N/A;
Manitoba carbon tax;Carbon tax;Under consideration;Subnational;Manitoba;North America;TBC;0;N/A;N/A;N/A;0;N/A;
Massachusetts ETS;ETS;Implemented;Subnational;RGGI;North America;2018;0;15.18;0.000280201;0.002929311;0;RGGI;15.18
Mexico carbon tax;Carbon tax;Implemented;National;Mexico;Latin America and the Caribbean  ;2014;0;380.6945418;0.007027086;0.306021063;0.324329075;N/A;
Mexico pilot ETS;ETS;Implemented;National;Mexico;Latin America and the Caribbean  ;2020;0;304.06415;0.005612597;N/A;0;N/A;
Montenegro ETS;ETS;Under consideration;National;Montenegro;Europe and Central Asia;TBC;0;N/A;N/A;N/A;0;N/A;
Netherlands carbon tax;Carbon tax;Under consideration;National;Netherlands;Europe and Central Asia;TBC;0;N/A;N/A;N/A;0;N/A;
New Brunswick ETS;ETS;Under consideration;Subnational;New Brunswick;North America;TBC;0;N/A;N/A;N/A;0;N/A;
New Brunswick carbon tax;Carbon tax;Implemented;Subnational;New Brunswick;North America;2020;0;5.499;0.000101504;0;0.068052327;N/A;
New Zealand ETS;ETS;Implemented;National;New Zealand;East Asia & Pacific ;2008;0;45.25383;0.000835322;0.000358479;0.500398294;N/A;
Newfoundland and Labrador PSS;ETS;Implemented;Subnational;Newfoundland and Labrador;North America;2019;0;4.5881;8.47E-05;0;0;N/A;
Newfoundland and Labrador carbon tax;Carbon tax;Implemented;Subnational;Newfoundland and Labrador;North America;2019;0;5.0149;9.26E-05;N/A;0.053445257;N/A;
Northwest Territories carbon tax;Carbon tax;Implemented;Subnational;Northwest Territories;North America;2019;0;1.3351;2.46E-05;N/A;0;N/A;
Norway carbon tax;Carbon tax;Implemented;National;Norway;Europe and Central Asia;1991;0;46.53871698;0.000859039;1.643662071;1.710229278;EU ETS;13.85302475
Nova Scotia CaT;ETS;Implemented;Subnational;Nova Scotia;North America;2019;0;13.2;0.000243653;0;0;N/A;
Ontario CaT;ETS;Abolished;Subnational;Ontario;North America;2017;2019;0;0;0.711679996;0;N/A;
Ontario ETS;ETS;Under consideration;Subnational;Ontario;North America;TBC;0;N/A;N/A;N/A;0;N/A;
Oregon ETS;ETS;Under consideration;Subnational;Oregon;North America;TBC;0;N/A;N/A;N/A;0;N/A;
Pennsylvania ETS;ETS;Under consideration;Subnational;Pennsylvania;North America;TBC;0;N/A;N/A;N/A;0;N/A;
Poland carbon tax;Carbon tax;Implemented;National;Poland;Europe and Central Asia;1990;0;16.09196123;0.000297035;0.00117744;0.001218041;N/A;
Portugal carbon tax;Carbon tax;Implemented;National;Portugal;Europe and Central Asia;2015;0;23.30616041;0.000430199;0.155056711;0.288382847;N/A;
Prince Edward Island carbon tax;Carbon tax;Implemented;Subnational;Prince Edward Island;North America;2019;0;0.7612;1.41E-05;N/A;0.01311286;N/A;
Quebec CaT;ETS;Implemented;Subnational;Quebec;North America;2013;0;66.385;0.001225374;0.642;0.8965245;N/A;
